순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,박해민,LG,중견수,54,47,415,1,0,101,1,0,0.990,0,0,0,-
1,정수빈,두산,중견수,54,53,441,1,0,132,3,1,0.993,0,0,0,-
3,오지환,LG,유격수,52,45,410,6,0,64,113,22,0.967,0,0,0,-
3,박성한,SSG,유격수,52,52,450,4,0,88,131,32,0.982,0,0,0,-
3,최지훈,SSG,중견수,52,50,441,5,0,119,1,0,0.960,0,0,0,-
3,강승호,두산,2루수,52,52,427,11,0,106,129,26,0.955,0,0,0,-
3,양석환,두산,1루수,52,52,442,2,0,403,27,40,0.995,0,0,0,-
8,신민재,LG,2루수,51,45,383,4,0,100,107,27,0.981,0,0,0,-
8,천성호,KT,2루수,51,46,380 1/3,3,0,70,105,23,0.983,0,0,0,-
8,김주원,NC,유격수,51,46,402,5,0,70,108,19,0.973,0,0,0,-
8,서호철,NC,3루수,51,50,416 1/3,6,0,34,81,11,0.950,0,0,0,-
8,노시환,한화,3루수,51,51,446,4,0,42,88,13,0.970,0,0,0,-
13,황재균,KT,3루수,50,48,416 1/3,4,0,36,81,8,0.967,0,0,0,-
13,김도영,KIA,3루수,50,49,417 2/3,10,0,35,79,8,0.919,0,0,0,-
15,문보경,LG,3루수,49,47,370,6,0,41,65,9,0.946,0,0,0,-
16,권희동,NC,좌익수,48,45,369,0,0,100,5,2,1.000,0,0,0,-
16,소크라테스,KIA,좌익수,48,36,321,1,0,61,3,1,0.985,0,0,0,-
18,홍창기,LG,우익수,47,41,362,2,0,85,1,0,0.977,0,0,0,-
18,김선빈,KIA,2루수,47,44,366,6,0,85,122,27,0.972,0,0,0,-
18,김재현,키움,포수,47,36,346 2/3,6,1,257,24,4,0.979,2,25,11,30.6
21,강민호,삼성,포수,46,32,292,2,0,251,14,2,0.993,3,32,6,15.8
22,오스틴,LG,1루수,45,45,360,3,0,295,32,35,0.991,0,0,0,-
22,이지영,SSG,포수,45,39,348 1/3,3,0,348,19,4,0.992,0,39,10,20.4
22,김성욱,NC,중견수,45,42,357,0,0,95,1,0,1.000,0,0,0,-
25,허경민,두산,3루수,44,43,347 1/3,3,0,25,70,5,0.969,0,0,0,-
25,박찬호,KIA,유격수,44,43,379,4,0,67,110,23,0.978,0,0,0,-
27,문성주,LG,좌익수,43,32,295,0,0,71,3,2,1.000,0,0,0,-
27,최정,SSG,3루수,43,41,329,5,0,16,51,2,0.931,0,0,0,-
27,데이비슨,NC,1루수,43,43,360 1/3,6,0,304,27,24,0.982,0,0,0,-
27,윤동희,롯데,중견수,43,40,350,1,0,101,1,0,0.990,0,0,0,-
