순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,허경민,두산,0.389,45,187,162,33,63,12,0,2,81,27,0,4
2,에레디아,SSG,0.381,49,209,189,32,72,10,0,7,103,38,0,3
3,도슨,키움,0.369,50,224,203,34,75,18,2,7,118,29,0,1
4,박건우,NC,0.335,48,200,176,31,59,13,1,3,83,26,0,1
5,양의지,두산,0.333,47,191,171,21,57,8,0,7,86,43,0,5
6,김도영,KIA,0.332,50,221,202,44,67,7,3,11,113,31,1,2
7,맥키넌,삼성,0.330,47,212,179,22,59,8,0,4,79,22,0,1
8,강백호,KT,0.329,52,237,222,40,73,12,0,15,130,49,0,2
9,레이예스,롯데,0.328,50,219,198,28,65,13,1,6,98,40,0,5
10,홍창기,LG,0.324,51,230,182,36,59,2,3,2,73,24,1,1
11,이우성,KIA,0.322,50,207,183,38,59,8,0,8,91,36,0,0
12,전준우,롯데,0.314,40,176,159,20,50,11,1,7,84,31,0,1
13,문성주,LG,0.314,54,205,169,24,53,10,1,0,65,27,1,3
14,페라자,한화,0.313,50,227,198,37,62,13,0,14,117,38,0,2
15,강승호,두산,0.313,55,239,224,33,70,14,5,10,124,41,1,3
16,송성문,키움,0.312,50,182,157,23,49,7,2,6,78,31,0,6
17,구자욱,삼성,0.308,50,228,201,34,62,12,1,9,103,37,0,2
18,박찬호,KIA,0.307,44,193,179,27,55,9,0,1,67,14,2,1
19,문상철,KT,0.307,45,161,137,23,42,3,0,9,72,21,0,1
20,천성호,KT,0.306,51,210,193,36,59,8,3,1,76,17,1,1
21,로하스,KT,0.303,52,243,201,38,61,17,0,12,114,39,0,1
22,김혜성,키움,0.303,44,197,178,31,54,6,1,7,83,29,0,1
23,오스틴,LG,0.303,53,225,188,30,57,10,1,10,99,37,0,6
24,라모스,두산,0.302,42,178,159,20,48,9,3,4,75,31,0,5
25,박민우,NC,0.301,37,170,143,21,43,7,1,1,55,13,2,1
26,김현수,LG,0.300,52,223,200,24,60,11,1,4,85,29,0,3
27,서호철,NC,0.297,51,213,182,26,54,6,0,3,69,29,1,2
28,이지영,SSG,0.295,47,163,149,19,44,2,1,1,51,18,2,1
29,박성한,SSG,0.292,52,230,202,26,59,9,0,1,71,20,2,1
30,박해민,LG,0.292,54,220,192,31,56,5,3,1,70,26,2,7
31,손아섭,NC,0.290,51,237,224,29,65,10,0,3,84,34,1,3
32,윤동희,롯데,0.288,49,208,184,38,53,15,1,2,76,16,1,2
33,최원준,KIA,0.287,50,193,174,24,50,11,1,3,72,24,1,0
34,데이비슨,NC,0.286,44,195,168,31,48,8,0,12,92,36,0,3
35,최형우,KIA,0.285,49,209,186,29,53,13,1,9,95,44,0,2
36,김영웅,삼성,0.284,51,222,190,30,54,8,1,12,100,33,1,1
37,최지훈,SSG,0.283,52,238,212,36,60,8,4,3,85,16,1,1
38,권희동,NC,0.280,51,213,168,26,47,9,1,1,61,26,0,3
39,김지찬,삼성,0.279,51,202,172,30,48,8,0,1,59,13,4,0
40,김선빈,KIA,0.274,48,184,157,23,43,7,0,4,62,17,2,0
41,노시환,한화,0.270,51,230,204,32,55,6,1,10,93,37,0,0
42,안치홍,한화,0.264,51,219,193,27,51,9,0,5,75,25,0,2
43,최정,SSG,0.262,46,196,164,29,43,12,0,13,94,39,0,1
44,김재환,두산,0.260,52,214,181,29,47,10,0,12,93,36,0,4
45,황재균,KT,0.257,50,206,187,20,48,7,0,1,58,14,3,1
46,정수빈,두산,0.255,54,239,204,40,52,5,3,2,69,14,4,3
47,고명준,SSG,0.251,50,178,167,15,42,6,0,5,63,25,0,0
48,소크라테스,KIA,0.251,52,221,207,27,52,8,0,9,87,31,0,2
49,문보경,LG,0.250,54,207,176,23,44,8,0,4,64,24,1,7
49,최인호,한화,0.250,49,167,140,23,35,9,1,1,49,13,3,2
51,장성우,KT,0.248,49,170,145,13,36,6,0,4,54,27,0,2
52,양석환,두산,0.247,55,225,198,33,49,11,0,12,96,43,0,1
53,오지환,LG,0.244,52,194,164,31,40,16,1,2,64,16,1,0
54,한유섬,SSG,0.239,45,182,155,29,37,9,0,12,82,37,0,2
55,신민재,LG,0.237,52,168,139,26,33,5,1,0,40,17,4,1
56,김형준,NC,0.236,42,168,140,20,33,6,0,9,66,27,2,1
57,김휘집,키움,0.234,49,189,167,23,39,8,1,5,64,25,2,2
58,김성욱,NC,0.221,51,191,163,28,36,6,1,8,68,30,1,1
59,김주원,NC,0.215,52,182,149,23,32,6,1,4,52,21,5,1
60,최주환,키움,0.196,40,175,158,15,31,5,0,4,48,20,0,2
