순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,박해민,LG,54,28,25,3,89.3,2,2
2,조수행,두산,48,24,23,1,95.8,2,0
3,김도영,KIA,50,19,18,1,94.7,2,0
4,정수빈,두산,54,20,17,3,85.0,2,0
4,황성빈,롯데,36,17,17,0,100,1,0
6,박민우,NC,37,19,16,3,84.2,2,2
7,김지찬,삼성,51,15,15,0,100,1,0
8,최지훈,SSG,52,16,14,2,87.5,0,0
9,신민재,LG,52,15,13,2,86.7,1,0
10,최원준,KIA,50,18,12,6,66.7,1,1
10,김혜성,키움,44,13,12,1,92.3,1,0
12,오지환,LG,52,14,11,3,78.6,1,0
12,박찬호,KIA,44,15,11,4,73.3,0,1
14,문성주,LG,54,15,9,6,60.0,5,0
14,오태곤,SSG,45,9,9,0,100,0,1
16,최승민,LG,29,14,8,6,57.1,1,1
17,김주원,NC,52,8,7,1,87.5,2,0
17,강승호,두산,55,10,7,3,70.0,1,0
17,장두성,롯데,24,9,7,2,77.8,0,0
20,천성호,KT,51,6,6,0,100,2,1
20,김성욱,NC,51,7,6,1,85.7,0,0
20,손아섭,NC,51,8,6,2,75.0,4,0
20,손호영,롯데,29,9,6,3,66.7,0,0
24,오스틴,LG,53,7,5,2,71.4,4,0
24,홍창기,LG,51,8,5,3,62.5,4,1
24,조용호,KT,43,5,5,0,100,1,0
24,박성한,SSG,52,7,5,2,71.4,1,1
24,이우성,KIA,50,6,5,1,83.3,3,0
29,황재균,KT,50,6,4,2,66.7,1,0
29,이지영,SSG,47,5,4,1,80.0,0,0
29,최경모,SSG,37,6,4,2,66.7,0,0
29,최정,SSG,46,4,4,0,100,1,0
29,하재훈,SSG,48,4,4,0,100,1,0
29,고승민,롯데,31,5,4,1,80.0,1,0
29,레이예스,롯데,50,4,4,0,100,1,0
29,윤동희,롯데,49,6,4,2,66.7,1,0
29,구자욱,삼성,50,6,4,2,66.7,5,0
29,김영웅,삼성,51,4,4,0,100,1,0
29,김재상,삼성,33,4,4,0,100,1,0
29,류지혁,삼성,33,7,4,3,57.1,1,0
29,장진혁,한화,12,4,4,0,100,0,0
29,페라자,한화,50,7,4,3,57.1,3,0
43,최원영,LG,14,4,3,1,75.0,1,1
43,문상철,KT,45,4,3,1,75.0,0,0
43,배정대,KT,21,6,3,3,50.0,0,0
43,추신수,SSG,20,4,3,1,75.0,0,0
43,천재환,NC,33,3,3,0,100,2,0
43,최정원,NC,30,5,3,2,60.0,2,0
43,김선빈,KIA,48,3,3,0,100,1,0
43,서건창,KIA,38,4,3,1,75.0,0,0
43,소크라테스,KIA,52,3,3,0,100,4,1
43,전준우,롯데,40,4,3,1,75.0,1,1
43,김성윤,삼성,28,4,3,1,75.0,0,0
43,이성규,삼성,49,3,3,0,100,0,0
43,노시환,한화,51,3,3,0,100,1,0
43,이도윤,한화,45,5,3,2,60.0,1,0
57,구본혁,LG,46,3,2,1,66.7,0,0
57,김현수,LG,52,3,2,1,66.7,1,0
57,문보경,LG,54,6,2,4,33.3,1,1
57,강백호,KT,52,4,2,2,50.0,1,0
57,김민혁,KT,40,2,2,0,100,1,0
57,김상수,KT,34,2,2,0,100,0,0
57,신본기,KT,34,2,2,0,100,0,0
57,장성우,KT,49,2,2,0,100,0,0
57,박건우,NC,48,2,2,0,100,0,0
57,박영빈,NC,6,2,2,0,100,0,0
57,라모스,두산,42,3,2,1,66.7,3,0
57,양석환,두산,55,4,2,2,50.0,0,0
57,양의지,두산,47,2,2,0,100,4,0
57,허경민,두산,45,2,2,0,100,2,0
57,김호령,KIA,34,3,2,1,66.7,0,0
